"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Footer","","Como usuário do sistema, desejo acessar diferentes seções e informações úteis através do rodapé.","0","14","0","0","0"
"ContactUs","","Como usuário do sistema, desejo me contactar com a empresa quando inserir dados validos","0","5","0","0","0"
"ForgotPassword","","Como usuário do sistema, desejo recuperar minha senha quando inserir email valido em 'ForgotPassword'","0","4","0","0","0"
"Register","","Como usuário do sistema, desejo fazer registro na aplicação quando inserir dados válidos","0","4","0","0","0"
"Newsletter","","Como usuário do sistema, desejo me cadastrar na newsletter quando inserir email valido","0","4","0","0","0"
"Navigation","","Como usuário do sistema, desejo navegar entre as difefrentes seções do website","0","6","0","0","0"
"Cart","","Como usuário do sistema, desejo gerenciar meu carrinho de compras e concluir o processo de checkout com sucesso.","0","9","0","0","0"
"Login","","Como usuário do sistema, desejo fazer login na aplicação quando inserir email e senha validos","0","5","0","0","0"
"Search","","Como usuário do sistema, desejo fazer pesquisa por produtos na aplicação","0","2","0","0","0"
"","","","0","1","0","0","0"
