"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 12:25:24 GMT 2024","Wed Aug 28 12:25:28 GMT 2024","4485","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkAboutUs","validarLinkAboutUs()","FE-07 Validar navegação para a página sobre nós"
"passed","Wed Aug 28 12:26:38 GMT 2024","Wed Aug 28 12:26:54 GMT 2024","15262","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test4validarContactUsComOrderReferenceVazio","test4validarContactUsComOrderReferenceVazio()","CT-004 Validar ContactUs com order reference vazio"
"passed","Wed Aug 28 12:24:57 GMT 2024","Wed Aug 28 12:25:01 GMT 2024","4734","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarlinkOurStores","validarlinkOurStores()","FE-05 Validar navegação para a página de nossas lojas"
"broken","Wed Aug 28 12:28:23 GMT 2024","Wed Aug 28 12:28:33 GMT 2024","9470","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarExcluirProdutoDoCarrinho","validarExcluirProdutoDoCarrinho()","CE-08 Validar Excluir produto do carrinho"
"passed","Wed Aug 28 12:25:28 GMT 2024","Wed Aug 28 12:25:32 GMT 2024","3968","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkTwitter","validarLinkTwitter()","FE-02 Validar acesso ao perfil do Twitter através do ícone de redes sociais"
"passed","Wed Aug 28 12:24:03 GMT 2024","Wed Aug 28 12:24:08 GMT 2024","5687","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test2ValidarTentativaDeEnvioSenhaNovaComEmailEmBranco","test2ValidarTentativaDeEnvioSenhaNovaComEmailEmBranco()","CT-004 Validar ForgotPassword com email em branco"
"broken","Wed Aug 28 12:28:45 GMT 2024","Wed Aug 28 12:28:51 GMT 2024","6027","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","testValidarFluxoCarrinhoComSucesso","testValidarFluxoCarrinhoComSucesso()","CE-01 Validar adição de item ao carrinho e conclusão do checkout com sucesso"
"passed","Wed Aug 28 12:23:28 GMT 2024","Wed Aug 28 12:23:49 GMT 2024","21240","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test1validarRegistroDadosValidos","test1validarRegistroDadosValidos()","CT-001 Validar Registro com dados validos"
"broken","Wed Aug 28 12:27:50 GMT 2024","Wed Aug 28 12:27:58 GMT 2024","8425","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCompraUsuarioSemEndereço","validarCompraUsuarioSemEndereço()","CE-05 Validar comportamento ao tentar finalizar compra com usuario sem endereço"
"passed","Wed Aug 28 12:26:12 GMT 2024","Wed Aug 28 12:26:17 GMT 2024","5529","","br.com.dbccompany.test.LogoutTest","","br.com.dbccompany.test.LogoutTest","test1validarLogoutComSucesso","test1validarLogoutComSucesso()","CT-001 Validar Logout com sucesso"
